Inventory BID,Pollination Gender,PDSID 1,PDSID 2,PDSID 3,PDSID 4,PDSID 5,PDSID 6,PDSID 7,PDSID 8,PDSID 9,PDSID 10,PDSID 11
IDH000000879565878518965,M,EB24265172,EB24265170,EB24265164,EB24265176,EB24265178,EB24265180,EB24265182,EB24265183,EB24265185,EB24265186,EB24265174
IDH000000879565878519050,F,EB24265164,,,,,,,,,,
IDH000000879565878516240,F,EB24265170,,,,,,,,,,
IDH000000879565878517796,F,EB24265172,,,,,,,,,,
IDH000000879565878517786,F,EB24265174,,,,,,,,,,
IDH000000879565878518511,F,EB24265176,,,,,,,,,,
IDH000000879565878519225,F,EB24265178,,,,,,,,,,
IDH000000879565878518360,F,EB24265180,,,,,,,,,,
IDH000000879565878519440,F,EB24265182,,,,,,,,,,
IDH000000879565878516902,M,EB24265183,EB24265203,EB24265201,,,,,,,,
IDH000000879565878517950,M,EB24265241,EB24265185,EB24265239,EB24265240,EB24265242,EB24265243,EB24265244,EB24265245,EB24265246,EB24265247,EB24265248
IDH000000879565878516965,F,EB24265239,,,,,,,,,,
IDH000000879565878517945,F,EB24265240,,,,,,,,,,
IDH000000879565878519039,F,EB24265241,,,,,,,,,,
IDH000000879565878516512,F,EB24265242,,,,,,,,,,
IDH000000879565878516844,F,EB24265243,,,,,,,,,,
IDH000000879565878517376,F,EB24265244,,,,,,,,,,
IDH000000879565878518272,F,EB24265245,,,,,,,,,,
IDH000000879565878518496,F,EB24265246,,,,,,,,,,
IDH000000879565878516809,F,EB24265247,,,,,,,,,,
IDH000000879565878516776,M,EB24265248,EB24265275,,,,,,,,,
IDH000000879565878516174,M,EB24265201,EB24265168,,,,,,,,,
IDH000000879565878516771,M,EB24265219,EB24265203,EB24265221,EB24265226,EB24265222,EB24265223,EB24265224,EB24265220,EB24265225,,
IDH000000879565878516834,F,EB24265219,,,,,,,,,,
IDH000000879565878518174,F,EB24265220,,,,,,,,,,
IDH000000879565878517526,F,EB24265221,,,,,,,,,,
IDH000000879565878518506,F,EB24265222,,,,,,,,,,
IDH000000879565878516472,F,EB24265223,,,,,,,,,,
IDH000000879565878516467,F,EB24265224,,,,,,,,,,
IDH000000879565878516497,F,EB24265225,,,,,,,,,,
IDH000000879565878516938,F,EB24265226,,,,,,,,,,
IDH000000879565878518246,F,EB24265275,,,,,,,,,,
IDH000000879565878516756,M,EB24265316,EB24265319,EB24265318,EB24265317,EB24265168,EB24265315,EB24265323,EB24265322,EB24265321,EB24265320,
IDH000000879565878518428,F,EB24265315,,,,,,,,,,
IDH000000879565878519507,F,EB24265316,,,,,,,,,,
IDH000000879565878519014,F,EB24265317,,,,,,,,,,
IDH000000879565878518169,F,EB24265318,,,,,,,,,,
IDH000000879565878517371,F,EB24265319,,,,,,,,,,
IDH000000879565878516292,F,EB24265320,,,,,,,,,,
IDH000000879565878516487,F,EB24265321,,,,,,,,,,
IDH000000879565878517631,F,EB24265322,,,,,,,,,,
IDH000000879565878516492,F,EB24265323,,,,,,,,,,
IDH000000879565878519416,M,EB24265233,EB24265234,EB24265235,EB24265236,EB24265258,EB24265231,EB24265230,EB24265229,EB24265228,EB24265227,EB24265232
IDH000000879565878519019,F,EB24265227,,,,,,,,,,
IDH000000879565878519034,F,EB24265228,,,,,,,,,,
IDH000000879565878516995,F,EB24265229,,,,,,,,,,
IDH000000879565878519074,F,EB24265230,,,,,,,,,,
IDH000000879565878517491,F,EB24265231,,,,,,,,,,
IDH000000879565878518288,F,EB24265232,,,,,,,,,,
IDH000000879565878519088,F,EB24265233,,,,,,,,,,
IDH000000879565878517716,F,EB24265234,,,,,,,,,,
IDH000000879565878516452,F,EB24265235,,,,,,,,,,
IDH000000879565878517316,M,EB24265204,EB24265202,EB24265200,EB24265208,EB24265198,EB24265210,EB24265236,EB24265206,,,
IDH000000879565878517831,F,EB24265198,,,,,,,,,,
IDH000000879565878518655,F,EB24265200,,,,,,,,,,
IDH000000879565878516990,F,EB24265202,,,,,,,,,,
IDH000000879565878518433,F,EB24265204,,,,,,,,,,
IDH000000879565878516849,F,EB24265206,,,,,,,,,,
IDH000000879565878519029,F,EB24265208,,,,,,,,,,
IDH000000879565878518189,F,EB24265210,,,,,,,,,,
IDH000000879565878516887,M,EB24265295,EB24265171,EB24265289,EB24265290,EB24265291,EB24265292,EB24265293,EB24265294,EB24265296,EB24265297,EB24265298
IDH000000879565878516814,F,EB24265289,,,,,,,,,,
IDH000000879565878516804,F,EB24265290,,,,,,,,,,
IDH000000879565878519379,F,EB24265291,,,,,,,,,,
IDH000000879565878518501,F,EB24265292,,,,,,,,,,
IDH000000879565878517955,F,EB24265293,,,,,,,,,,
IDH000000879565878519256,F,EB24265294,,,,,,,,,,
IDH000000879565878518990,M,EB24265173,EB24265295,EB24265175,EB24265169,EB24265171,,,,,,
IDH000000879565878516189,M,EB24265296,EB24265177,,,,,,,,,
IDH000000879565878517336,M,EB24265297,EB24265197,,,,,,,,,
IDH000000879565878516872,M,EB24265262,EB24265263,EB24265264,EB24265265,EB24265298,EB24265259,EB24265260,EB24265261,,,
IDH000000879565878516255,F,EB24265259,,,,,,,,,,
IDH000000879565878518180,F,EB24265260,,,,,,,,,,
IDH000000879565878518282,F,EB24265261,,,,,,,,,,
IDH000000879565878519251,F,EB24265262,,,,,,,,,,
IDH000000879565878519445,F,EB24265263,,,,,,,,,,
IDH000000879565878517063,F,EB24265264,,,,,,,,,,
IDH000000879565878517178,M,EB24265265,EB24265181,,,,,,,,,
IDH000000879565878517193,M,EB24265169,EB24265209,,,,,,,,,
IDH000000879565878517005,M,EB24265253,EB24265254,EB24265251,EB24265250,EB24265249,EB24265173,EB24265256,EB24265252,EB24265257,EB24265258,EB24265255
IDH000000879565878517123,M,EB24265175,EB24265207,,,,,,,,,
IDH000000879565878516839,F,EB24265249,,,,,,,,,,
IDH000000879565878518456,F,EB24265250,,,,,,,,,,
IDH000000879565878518842,F,EB24265251,,,,,,,,,,
IDH000000879565878518451,F,EB24265252,,,,,,,,,,
IDH000000879565878517940,F,EB24265253,,,,,,,,,,
IDH000000879565878517556,F,EB24265254,,,,,,,,,,
IDH000000879565878517711,F,EB24265255,,,,,,,,,,
IDH000000879565878516563,F,EB24265256,,,,,,,,,,
IDH000000879565878517223,M,EB24265311,EB24265314,EB24265313,EB24265312,EB24265310,EB24265309,EB24265308,EB24265257,,,
IDH000000879565878519024,F,EB24265308,,,,,,,,,,
IDH000000879565878518241,F,EB24265309,,,,,,,,,,
IDH000000879565878519465,F,EB24265310,,,,,,,,,,
IDH000000879565878519059,F,EB24265311,,,,,,,,,,
IDH000000879565878518827,F,EB24265312,,,,,,,,,,
IDH000000879565878517386,M,EB24265179,EB24265313,,,,,,,,,
IDH000000879565878516751,F,EB24265314,,,,,,,,,,
IDH000000879565878516766,M,EB24265207,EB24265199,,,,,,,,,
IDH000000879565878519307,F,EB24265209,,,,,,,,,,
IDH000000879565878519470,M,EB24265181,EB24265160,EB24265161,EB24265162,EB24265163,EB24265159,,,,,
IDH000000879565878519450,F,EB24265159,,,,,,,,,,
IDH000000879565878519512,F,EB24265160,,,,,,,,,,
IDH000000879565878518204,F,EB24265161,,,,,,,,,,
IDH000000879565878517965,F,EB24265162,,,,,,,,,,
IDH000000879565878516250,F,EB24265163,,,,,,,,,,
IDH000000879565878516194,F,EB24265197,,,,,,,,,,
IDH000000879565878516179,F,EB24265179,,,,,,,,,,
IDH000000879565878519069,M,EB24265199,EB24265191,EB24265192,EB24265190,EB24265196,EB24265193,EB24265187,EB24265194,EB24265188,EB24265189,EB24265195
IDH000000879565878516819,F,EB24265187,,,,,,,,,,
IDH000000879565878518126,F,EB24265188,,,,,,,,,,
IDH000000879565878516789,F,EB24265189,,,,,,,,,,
IDH000000879565878516477,F,EB24265190,,,,,,,,,,
IDH000000879565878517970,F,EB24265191,,,,,,,,,,
IDH000000879565878519064,F,EB24265192,,,,,,,,,,
IDH000000879565878517601,F,EB24265193,,,,,,,,,,
IDH000000879565878517581,F,EB24265194,,,,,,,,,,
IDH000000879565878519210,F,EB24265195,,,,,,,,,,
IDH000000879565878518985,M,EB24265216,EB24265196,EB24265214,EB24265215,EB24265217,EB24265218,EB24265212,,,,
IDH000000879565878519261,F,EB24265212,,,,,,,,,,
IDH000000879565878519296,F,EB24265214,,,,,,,,,,
IDH000000879565878517356,F,EB24265215,,,,,,,,,,
IDH000000879565878516980,F,EB24265216,,,,,,,,,,
IDH000000879565878516260,F,EB24265217,,,,,,,,,,
IDH000000879565878516207,M,EB24265286,EB24265218,EB24265279,EB24265280,EB24265281,EB24265282,EB24265283,EB24265284,EB24265285,EB24265287,EB24265288
IDH000000879565878517576,F,EB24265279,,,,,,,,,,
IDH000000879565878519215,F,EB24265280,,,,,,,,,,
IDH000000879565878516985,F,EB24265281,,,,,,,,,,
IDH000000879565878516502,F,EB24265282,,,,,,,,,,
IDH000000879565878516302,F,EB24265283,,,,,,,,,,
IDH000000879565878516578,F,EB24265284,,,,,,,,,,
IDH000000879565878517626,F,EB24265285,,,,,,,,,,
IDH000000879565878516960,F,EB24265286,,,,,,,,,,
IDH000000879565878519230,F,EB24265287,,,,,,,,,,
IDH000000879565878516736,F,EB24265288,,,,,,,,,,
IDH000000879565878517263,M,EB24265177,EB24265186,EB24265184,,,,,,,,
IDH000000879565878516746,M,EB24265184,EB24265272,EB24265267,EB24265266,EB24265274,EB24265273,EB24265271,EB24265270,EB24265269,EB24265268,
IDH000000879565878518121,F,EB24265266,,,,,,,,,,
IDH000000879565878516482,F,EB24265267,,,,,,,,,,
IDH000000879565878518262,F,EB24265268,,,,,,,,,,
IDH000000879565878519490,F,EB24265269,,,,,,,,,,
IDH000000879565878516799,F,EB24265270,,,,,,,,,,
IDH000000879565878516955,F,EB24265271,,,,,,,,,,
IDH000000879565878518438,F,EB24265272,,,,,,,,,,
IDH000000879565878518194,F,EB24265273,,,,,,,,,,
IDH000000879565878517304,M,EB24265278,EB24265155,EB24265157,EB24265274,EB24265276,EB24265277,EB24265165,,,,
IDH000000879565878518645,F,EB24265276,,,,,,,,,,
IDH000000879565878518420,F,EB24265277,,,,,,,,,,
IDH000000879565878516656,F,EB24265278,,,,,,,,,,
IDH000000879565878517361,F,EB24265155,,,,,,,,,,
IDH000000879565878518516,F,EB24265157,,,,,,,,,,
IDH000000879565878517366,F,EB24265165,,,,,,,,,,
IDH000000879565878519339,M,EB24265305,EB24265307,EB24265306,EB24265304,EB24265303,EB24265302,EB24265301,EB24265300,EB24265299,EB24265211,
IDH000000879565878516507,F,EB24265299,,,,,,,,,,
IDH000000879565878519271,F,EB24265300,,,,,,,,,,
IDH000000879565878519220,F,EB24265301,,,,,,,,,,
IDH000000879565878516975,F,EB24265302,,,,,,,,,,
IDH000000879565878516297,F,EB24265303,,,,,,,,,,
IDH000000879565878516554,F,EB24265304,,,,,,,,,,
IDH000000879565878517188,M,EB24265327,EB24265326,EB24265325,EB24265324,EB24265305,EB24265328,EB24265156,EB24265158,,,
IDH000000879565878519411,M,EB24265306,EB24265205,,,,,,,,,
IDH000000879565878517163,M,EB24265213,EB24265307,,,,,,,,,
IDH000000879565878516824,F,EB24265324,,,,,,,,,,
IDH000000879565878516854,F,EB24265325,,,,,,,,,,
IDH000000879565878518722,F,EB24265326,,,,,,,,,,
IDH000000879565878516794,F,EB24265327,,,,,,,,,,
IDH000000879565878519044,F,EB24265328,,,,,,,,,,
IDH000000879565878517960,F,EB24265156,,,,,,,,,,
IDH000000879565878517243,F,EB24265158,,,,,,,,,,
IDH000000879565878517238,F,EB24265205,,,,,,,,,,
IDH000000879565878516184,M,EB24265167,EB24265166,EB24265213,,,,,,,,
IDH000000879565878518252,F,EB24265166,,,,,,,,,,
IDH000000879565878519344,M,EB24265238,EB24265167,EB24265237,,,,,,,,
IDH000000879565878518199,F,EB24265237,,,,,,,,,,
IDH000000879565878516761,M,EB24265211,EB24265238,,,,,,,,,
